batch_id	item_id	foundation_entity	foundation_label	mondo_class	mondo_label	synonym_text	scope_property	mondo_xref	scope_mapping	icd_annotation_property	generated_by_pattern	pattern_version	generated_at_time	attributed_to	review_decision	reviewer	review_date
2026-Q3-syn-infectious-01	SYN-0011	http://id.who.int/icd/entity/1580735498	Tuberculosis	MONDO:0018076	tuberculosis	TB	oboInOwl:hasExactSynonym	MESH:D014376	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0012	http://id.who.int/icd/entity/1580735498	Tuberculosis	MONDO:0018076	tuberculosis	Koch disease	oboInOwl:hasExactSynonym	Orphanet:818	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0013	http://id.who.int/icd/entity/1580735498	Tuberculosis	MONDO:0018076	tuberculosis	mycobacterial infection due to Mycobacterium tuberculosis	oboInOwl:hasNarrowSynonym	NCIt:C3423	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0014	http://id.who.int/icd/entity/1157477580	Plague	MONDO:0005088	plague	Yersinia pestis infection	oboInOwl:hasExactSynonym	NCIt:C84928	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0015	http://id.who.int/icd/entity/1157477580	Plague	MONDO:0005088	plague	black death	oboInOwl:hasExactSynonym	DOID:3482	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0016	http://id.who.int/icd/entity/189532001	Diphtheria	MONDO:0005577	diphtheria	Corynebacterium diphtheriae infection	oboInOwl:hasNarrowSynonym	NCIt:C84617	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0017	http://id.who.int/icd/entity/1927498498	Whooping cough	MONDO:0005049	pertussis	pertussis	oboInOwl:hasExactSynonym	MESH:D014917	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0018	http://id.who.int/icd/entity/1927498498	Whooping cough	MONDO:0005049	pertussis	Bordetella pertussis infection	oboInOwl:hasNarrowSynonym	NCIt:C84586	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0019	http://id.who.int/icd/entity/1394114714	Tetanus	MONDO:0001399	tetanus	lockjaw	oboInOwl:hasExactSynonym	DOID:11338	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0020	http://id.who.int/icd/entity/1394114714	Tetanus	MONDO:0001399	tetanus	Clostridium tetani infection	oboInOwl:hasNarrowSynonym	NCIt:C128405	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0021	http://id.who.int/icd/entity/1208890105	Measles	MONDO:0005309	measles	rubeola	oboInOwl:hasExactSynonym	MESH:D008457	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0022	http://id.who.int/icd/entity/1208890105	Measles	MONDO:0005309	measles	morbilli	oboInOwl:hasExactSynonym	DOID:8622	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0023	http://id.who.int/icd/entity/1233726543	Rubella	MONDO:0004656	rubella	German measles	oboInOwl:hasExactSynonym	MESH:D012409	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0024	http://id.who.int/icd/entity/1233726543	Rubella	MONDO:0004656	rubella	three-day measles	oboInOwl:hasExactSynonym	DOID:8781	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0025	http://id.who.int/icd/entity/1586407942	Dengue	MONDO:0005502	dengue disease	dengue fever	oboInOwl:hasExactSynonym	MESH:D003715	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0026	http://id.who.int/icd/entity/1586407942	Dengue	MONDO:0005502	dengue disease	break-bone fever	oboInOwl:hasExactSynonym	DOID:12205	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0027	http://id.who.int/icd/entity/435601985	Malaria	MONDO:0005136	malaria	paludism	oboInOwl:hasExactSynonym	MESH:D008288	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0028	http://id.who.int/icd/entity/435601985	Malaria	MONDO:0005136	malaria	marsh fever	oboInOwl:hasExactSynonym	DOID:12365	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0029	http://id.who.int/icd/entity/435601985	Malaria	MONDO:0005136	malaria	Plasmodium infection	oboInOwl:hasNarrowSynonym	NCIt:C34797	narrow→inclusionTerm	icd:inclusionTerm	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
2026-Q3-syn-infectious-01	SYN-0030	http://id.who.int/icd/entity/1630407678	Leishmaniasis	MONDO:0005747	leishmaniasis	kala-azar	oboInOwl:hasExactSynonym	MESH:D007896	exact→title/synonym	icd:synonym	synonym_enrichment_from_mondo	1.2.0	2026-07-15T09:22:00Z	https://orcid.org/0000-0002-0295-7821	accepted	WHO-FIC editorial board	2026-07-20
