entity_id	provisional_iri	proposed_label	parent_foundation_iri	parent_foundation_label	mondo_source_iri	mondo_source_label	depth	logical_definition	anchor_id
ENT-018	http://id.who.int/icd/staging/entity/ST-0018	Haemophilus meningitis	http://id.who.int/icd/entity/1124897498	Bacterial meningitis	http://purl.obolibrary.org/obo/MONDO_0005115	Haemophilus meningitis	1	bacterial meningitis and (has_material_basis_in some Haemophilus influenzae)	ANC-06
ENT-019	http://id.who.int/icd/staging/entity/ST-0019	Listeria meningitis	http://id.who.int/icd/entity/1124897498	Bacterial meningitis	http://purl.obolibrary.org/obo/MONDO_0044662	Listeria meningitis	1	bacterial meningitis and (has_material_basis_in some Listeria monocytogenes)	ANC-06
ENT-020	http://id.who.int/icd/staging/entity/ST-0020	Staphylococcal meningitis	http://id.who.int/icd/entity/1124897498	Bacterial meningitis	http://purl.obolibrary.org/obo/MONDO_0044663	staphylococcal meningitis	1	bacterial meningitis and (has_material_basis_in some Staphylococcus)	ANC-06
ENT-021	http://id.who.int/icd/staging/entity/ST-0021	Lymphocutaneous sporotrichosis	http://id.who.int/icd/entity/1390841912	Sporotrichosis	http://purl.obolibrary.org/obo/MONDO_0044664	lymphocutaneous sporotrichosis	1	sporotrichosis and (disease_has_location some skin)	ANC-07
ENT-022	http://id.who.int/icd/staging/entity/ST-0022	Disseminated sporotrichosis	http://id.who.int/icd/entity/1390841912	Sporotrichosis	http://purl.obolibrary.org/obo/MONDO_0044665	disseminated sporotrichosis	1	sporotrichosis and (has_course some progressive course)	ANC-07
ENT-023	http://id.who.int/icd/staging/entity/ST-0023	Pulmonary histoplasmosis	http://id.who.int/icd/entity/1290715602	Histoplasmosis	http://purl.obolibrary.org/obo/MONDO_0044666	pulmonary histoplasmosis	1	histoplasmosis and (disease_has_location some lung)	ANC-08
ENT-024	http://id.who.int/icd/staging/entity/ST-0024	Disseminated histoplasmosis	http://id.who.int/icd/entity/1290715602	Histoplasmosis	http://purl.obolibrary.org/obo/MONDO_0044667	disseminated histoplasmosis	1	histoplasmosis and (has_course some progressive course)	ANC-08
ENT-025	http://id.who.int/icd/staging/entity/ST-0025	African histoplasmosis	http://id.who.int/icd/entity/1290715602	Histoplasmosis	http://purl.obolibrary.org/obo/MONDO_0044668	African histoplasmosis	1	histoplasmosis and (has_material_basis_in some Histoplasma duboisii)	ANC-08
ENT-026	http://id.who.int/icd/staging/entity/ST-0026	Pulmonary coccidioidomycosis	http://id.who.int/icd/entity/1671998065	Coccidioidomycosis	http://purl.obolibrary.org/obo/MONDO_0044669	pulmonary coccidioidomycosis	1	coccidioidomycosis and (disease_has_location some lung)	ANC-09
ENT-027	http://id.who.int/icd/staging/entity/ST-0027	Disseminated coccidioidomycosis	http://id.who.int/icd/entity/1671998065	Coccidioidomycosis	http://purl.obolibrary.org/obo/MONDO_0044670	disseminated coccidioidomycosis	1	coccidioidomycosis and (has_course some progressive course)	ANC-09
ENT-028	http://id.who.int/icd/staging/entity/ST-0028	Pulmonary blastomycosis	http://id.who.int/icd/entity/1543214901	Blastomycosis	http://purl.obolibrary.org/obo/MONDO_0044671	pulmonary blastomycosis	1	blastomycosis and (disease_has_location some lung)	ANC-10
ENT-029	http://id.who.int/icd/staging/entity/ST-0029	Disseminated blastomycosis	http://id.who.int/icd/entity/1543214901	Blastomycosis	http://purl.obolibrary.org/obo/MONDO_0044672	disseminated blastomycosis	1	blastomycosis and (has_course some progressive course)	ANC-10
ENT-030	http://id.who.int/icd/staging/entity/ST-0030	Cerebral chromoblastomycosis	http://id.who.int/icd/entity/1128765438	Chromoblastomycosis	http://purl.obolibrary.org/obo/MONDO_0044673	cerebral chromoblastomycosis	1	chromoblastomycosis and (disease_has_location some brain)	ANC-11
